CPU,NUMERO_ITERACION,LATENCIA
1,1871,31033
1,1872,30848
1,1873,30348
1,1874,30293
1,1875,30016
1,1876,30645
1,1877,30663
1,1878,30867
1,1879,27090
1,1880,31238
1,1881,30774
1,1882,30867
1,1883,30737
1,1884,32886
1,1885,30830
1,1886,30200
1,1887,30459
1,1888,30682
1,1889,30701
1,1890,26979
1,1891,30664
1,1892,31182
1,1893,31127
1,1894,31386
1,1895,30830
1,1896,30386
1,1897,30644
1,1898,30219
1,1899,30793
1,1900,30960
1,1901,31293
1,1902,37311
1,1903,30978
1,1904,30867
1,1905,31571
1,1906,31071
1,1907,35793
1,1908,30775
1,1909,29960
1,1910,30756
1,1911,30793
1,1912,31052
1,1913,25034
1,1914,27422
1,1915,30497
1,1916,31182
1,1917,31200
1,1918,31534
1,1919,30700
1,1920,30330
1,1921,30553
1,1922,30793
1,1923,30959
1,1924,30793
1,1925,30682
1,1926,28200
1,1927,30442
1,1928,31608
1,1929,30738
1,1930,30886
1,1931,33663
1,1932,31312
1,1933,30589
1,1934,31034
1,1935,30441
1,1936,30886
1,1937,29275
1,1938,30831
1,1939,30738
1,1940,31367
1,1941,31015
1,1942,31034
1,1943,30682
1,1944,30737
1,1945,30701
1,1946,30793
1,1947,31664
1,1948,29478
1,1949,30942
1,1950,29627
1,1951,26978
1,1952,27626
1,1953,26144
1,1954,26978
1,1955,25571
1,1956,27275
1,1957,26053
1,1958,26848
1,1959,26034
1,1960,26774
1,1961,26033
1,1962,26719
1,1963,25830
1,1964,26904
1,1965,31386
1,1966,27127
1,1967,30386
1,1968,25960
1,1969,30034
1,1970,25701
1,1971,26978
1,1972,26738
1,1973,30645
1,1974,25553
1,1975,26978
1,1976,26867
1,1977,27793
1,1978,25942
1,1979,30237
1,1980,25830
1,1981,26756
1,1982,26349
1,1983,27219
1,1984,26052
1,1985,30719
1,1986,25793
1,1987,30053
1,1988,26293
1,1989,27219
1,1990,28404
1,1991,31608
1,1992,31034
1,1993,31793
1,1994,31219
1,1995,32682
1,1996,31219
1,1997,32478
1,1998,25608
1,1999,31201
1,2000,31089
1,2001,31237
1,2002,31053
1,2003,31794
1,2004,31682
1,2005,32423
1,2006,30793
1,2007,32163
1,2008,25830
1,2009,31849
1,2010,30571
1,2011,31275
1,2012,31164
1,2013,30922
1,2014,30756
1,2015,32293
1,2016,31774
1,2017,30645
1,2018,31108
1,2019,30867
1,2020,31533
1,2021,31442
1,2022,31293
1,2023,30238
1,2024,30422
1,2025,30460
1,2026,30793
1,2027,31311
1,2028,31423
1,2029,30719
1,2030,27830
1,2031,31293
1,2032,31274
1,2033,31053
1,2034,30201
1,2035,30423
1,2036,27978
1,2037,31107
1,2038,31311
1,2039,31348
1,2040,30997
1,2041,27497
1,2042,39015
1,2043,31052
1,2044,30849
1,2045,31330
1,2046,34608
1,2047,27756
1,2048,31182
1,2049,32070
